+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                  ;
+------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                              ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; NiosII|nios2_b|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent                                                    ; 307   ; 39             ; 43           ; 39             ; 336    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|sysid_qsys_0_control_slave_agent_rsp_fifo                                             ; 154   ; 39             ; 0            ; 39             ; 113    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|sysid_qsys_0_control_slave_agent|uncompressor                                         ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|sysid_qsys_0_control_slave_agent                                                      ; 307   ; 39             ; 43           ; 39             ; 336    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|ro16_mm_0_avalon_slave_0_agent_rsp_fifo                                               ; 154   ; 39             ; 0            ; 39             ; 113    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|ro16_mm_0_avalon_slave_0_agent|uncompressor                                           ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|ro16_mm_0_avalon_slave_0_agent                                                        ; 307   ; 39             ; 43           ; 39             ; 336    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent_rsp_fifo                                          ; 154   ; 39             ; 0            ; 39             ; 113    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent|uncompressor                                      ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent                                                   ; 307   ; 39             ; 43           ; 39             ; 336    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|master_0_master_agent                                                                 ; 195   ; 37             ; 86           ; 37             ; 146    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|nios2_gen2_0_instruction_master_agent                                                 ; 195   ; 37             ; 86           ; 37             ; 146    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|nios2_gen2_0_data_master_agent                                                        ; 195   ; 37             ; 86           ; 37             ; 146    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|timer_0_s1_translator                                                                 ; 99    ; 22             ; 48           ; 22             ; 55     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|onchip_memory2_0_s1_translator                                                        ; 115   ; 7              ; 19           ; 7              ; 86     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_translator                                               ; 115   ; 5              ; 23           ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|sysid_qsys_0_control_slave_translator                                                 ; 115   ; 6              ; 31           ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|ro16_mm_0_avalon_slave_0_translator                                                   ; 115   ; 4              ; 31           ; 4              ; 69     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator                                              ; 115   ; 5              ; 34           ; 5              ; 70     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|master_0_master_translator                                                            ; 116   ; 13             ; 2            ; 13             ; 109    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|nios2_gen2_0_instruction_master_translator                                            ; 101   ; 66             ; 2            ; 66             ; 109    ; 66              ; 66            ; 66              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|nios2_gen2_0_data_master_translator                                                   ; 101   ; 27             ; 2            ; 27             ; 109    ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0                                                                                       ; 328   ; 0              ; 1            ; 0              ; 295    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|timer_0                                                                                                 ; 23    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|sysid_qsys_0                                                                                            ; 3     ; 12             ; 2            ; 12             ; 32     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[0]|myro|ic[0]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[0]|myro|ic[1]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[0]|myro|ic[2]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[0]|myro|ic[3]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[0]|myro|ic[4]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[0]|myro|ic[5]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[0]|myro|ic[6]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[0]|myro|ic[7]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[0]|myro|nc                                                                        ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[0]|myro                                                                           ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[0]                                                                                ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[1]|myro|ic[0]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[1]|myro|ic[1]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[1]|myro|ic[2]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[1]|myro|ic[3]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[1]|myro|ic[4]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|ro16_mm_0|myro16|myro[1]|myro|ic[5]                                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
